ID,Name,Win,Loss,Draw,height,stance,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
74,Magno Almeida,10,3,0,6' 0,0,1.67,36,2.6,41,0,0,40,5
75,Thomas Almeida,22,5,0,5' 7,3,4.84,43,4.93,61,0.17,14,75,0
76,Ericka Almeida,7,3,0,5' 6,1,1.07,39,3.33,43,0.5,33,37,0
77,Estefani Almeida,7,3,0,5' 4,1,3.13,37,6.07,42,0,0,0,0
78,Jailton Almeida,22,3,0,6' 3,1,2.62,65,0.89,41,6.58,60,60,2.4
79,Lucas Almeida,15,3,0,5' 11,1,4.94,43,4.92,46,0,0,50,0
80,Cesar Almeida,7,1,0,6' 1,1,4.16,58,2.32,48,0,0,60,0.3
81,Mauricio Alonso,13,7,0,6' 2,0,5.74,34,1.91,67,0,0,0,0
82,Sarah Alpar,9,6,0,5' 4,3,2.36,44,6.06,38,1.61,26,20,0.4
83,Ali AlQaisi,8,5,0,5' 6,1,2.43,42,1.97,56,3.5,29,60,1
84,Victor Altamirano,12,5,0,5' 8,2,4.58,53,3.82,53,2.88,38,63,0
85,Mike Altman,1,4,0,5' 10,1,1.56,20,2.08,75,0,0,0,0
86,Patricia Alujas,9,3,0,5' 4,1,5.83,31,9.25,44,0,0,0,0
87,Sean Alvarez,4,3,0,6' 0,1,0.89,37,3.25,47,0,0,0,0
88,Eddie Alvarez,29,6,0,5' 9,1,4.32,41,4.39,55,2.92,36,92,0.5
89,Jaime Alvarez,6,1,0,5' 8,1,2.73,40,4.53,56,1,33,50,0
90,Joel Alvarez,22,3,0,6' 3,1,4.51,53,3.32,50,0,0,40,1.2
91,Thiago Alves,23,15,0,5' 9,1,3.73,41,3.42,62,0.71,60,63,0.3
92,Amilcar Alves,15,12,0,6' 0,3,0.5,46,2.02,30,0,0,53,0
93,Warlley Alves,15,8,0,5' 11,1,3.04,48,3.95,50,1.22,50,62,0.8
94,Rafael Alves,20,12,0,5' 8,1,1.85,48,3.3,58,0.29,25,44,1.5
95,Sam Alvey,33,18,1,6' 2,3,3.28,44,3.63,52,0.06,14,82,0.1
96,Andre Amado,6,4,1,6' 0,1,2.27,24,5.91,63,0,0,20,0
97,Adlan Amagov,14,2,1,6' 2,1,3.29,47,0.82,78,5.84,56,100,0
98,Maiara Amanajas dos Santos,7,3,0,5' 5,3,5.53,35,24.47,33,0,0,100,0
99,Jimmy Ambriz,17,21,1,6' 2,3,0.83,29,3.76,40,3.13,57,100,0.8
100,JJ Ambrose,28,7,0,5' 10,1,3.16,69,6.32,33,0,0,50,0
101,Alen Amedovski,8,4,0,5' 10,1,0.99,30,3.85,46,0,0,0,0
102,Hyder Amil,10,0,0,5' 9,2,6.31,57,2.23,61,0.64,33,78,1.9
103,Makwan Amirkhani,17,9,0,5' 10,3,1.33,44,2.98,46,3.96,43,35,1.1
104,Jaqueline Amorim,9,1,0,5' 3,1,3.05,52,1.72,63,1.78,28,0,5.3
105,Bertrand Amoussou,1,1,0,5' 8,1,6.75,39,2.01,83,0,0,0,0
106,Karl Amoussou,27,7,2,5' 11,1,1.47,34,2.67,54,0,0,25,1
107,Eryk Anders,17,8,0,6' 1,3,3.54,48,4.05,50,1.71,24,80,0.1
108,Corey Anderson,14,5,0,6' 3,1,4.43,46,2.22,59,4.89,50,83,0
109,Derek Anderson,14,3,0,6' 0,0,3.97,37,3.08,61,0.34,14,60,0
110,Megan Anderson,11,5,0,6' 0,1,1.76,46,3.35,37,0.52,25,53,0.5
111,Liam Anderson,6,3,0,6' 3,1,3,52,6.53,31,1,20,50,0
112,Tatsuya Ando,14,4,1,5' 4,3,0.93,19,4.93,50,0,0,0,0
113,Alex Andrade,10,5,0,5' 11,1,0.2,36,2.6,53,0,0,25,0.8
114,Jessica Andrade,26,13,0,5' 1,1,6.44,50,5.51,54,2.23,54,72,0.3
115,Viscardi Andrade,19,6,0,5' 11,1,3.26,42,2.77,63,1.93,50,66,0.3
116,Juan Andres Luna,12,1,0,5' 7,1,3.27,31,3,65,0,0,0,0
117,Dylan Andrews,18,7,0,6' 1,2,2.21,50,2.72,46,2.83,50,57,0.4
118,Reese Andy,7,3,0,6' 0,1,2.87,50,3.5,58,0.67,20,40,0
119,Angga,13,3,0,5' 7,1,3.56,38,3.77,53,0,0,33,0
120,Julius Anglickas,5,1,0,6' 3,1,4.62,78,1.86,50,4.47,50,60,1.1
121,Collin Anglin,8,3,0,5' 9,1,4.59,48,5.54,51,2.28,66,100,0
122,Chad Anheliger,13,8,0,5' 6,1,3.11,46,2.76,53,0.68,30,38,0.5
123,Yoji Anjo,0,5,1,5' 11,1,0,0,3.13,25,0,0,0,0
124,Magomed Ankalaev,20,1,1,6' 3,1,3.64,52,2.37,58,0.92,31,86,0
125,Gadzhimurad Antigulov,20,8,0,5' 11,1,2.08,55,4.21,40,5.08,36,0,1.4
126,Adam Antolin,12,3,0,5' 5,1,5.73,52,5,69,0,0,100,0
127,Angelo Antonio,1,4,0,0,1,1.09,50,7.64,50,0,0,0,0
128,Vanilto Antunes,16,7,0,6' 0,1,5.49,48,14.27,43,0,0,0,0
129,Azunna Anyanwu,14,5,0,6' 1,1,2.47,42,2.47,69,0.65,100,0,0
130,Shinsho Anzai,10,3,0,5' 7,1,3.23,58,3.75,45,1.83,16,75,0
131,Shinya Aoki,39,7,0,5' 11,3,0.97,58,1.25,58,2.54,41,60,4
132,Aoriqileng,25,12,0,5' 7,1,4.65,49,5.46,48,1.2,46,58,0
133,Josh Appelt,15,7,0,5' 10,3,1.35,40,11.5,32,0,0,33,0
134,Erik Apple,10,3,0,6' 0,1,0,0,0.54,81,0,0,0,8.1
135,Kenji Arai,15,15,5,5' 10,3,8.79,27,10.29,39,0,0,0,0
136,Romie Aram,7,1,0,5' 10,1,1.8,35,2.83,50,2.5,62,83,0
137,Felipe Arantes,18,10,1,5' 8,1,2.37,45,2.66,64,0.93,47,41,0.7
138,Igor Araujo,25,9,0,6' 1,1,1.52,42,2.86,49,0.86,15,22,0.6
139,Viviane Araujo,13,6,0,5' 4,1,4.04,47,4.87,56,1.86,43,80,0.7
140,Julio Arce,19,6,0,5' 7,3,4.36,36,3.05,68,0.46,28,96,0.3
141,Art Arciniega,15,7,0,5' 8,0,1.53,46,2.73,51,0,0,50,1
142,Alice Ardelean,9,7,0,5' 3,1,4.97,45,4.97,52,1,40,100,0
143,Dan Argueta,9,3,0,5' 7,3,2.48,43,3.44,50,4.36,35,55,1.4
144,Hashem Arkhagha,6,1,0,6' 2,1,1.84,44,8.97,43,0,0,50,0
145,Andrei Arlovski,34,24,0,6' 3,1,3.82,45,3.22,57,0.37,35,76,0.2
146,Garrett Armfield,10,5,0,5' 6,1,5.35,53,3.64,56,1.1,50,64,0.6
147,Austin Arnett,16,6,0,6' 0,1,4.52,41,6.38,62,0.44,18,57,0.2
148,Ricardo Arona,14,5,0,5' 11,1,1.66,48,1.15,57,2.41,48,58,1.2
149,Eli Aronov,6,1,0,5' 10,1,8.92,68,6.49,38,12.16,100,0,0
150,Chalid Arrab,7,3,0,5' 11,1,1.56,34,1.63,56,3.05,75,37,1
151,Akbarh Arreola,23,11,1,5' 10,3,2.32,45,4.01,56,1.07,100,33,0.4
152,Matt Arroyo,3,3,0,5' 10,1,1.62,47,2.01,58,2.12,36,100,5.3
153,Antonio Arroyo,9,5,0,6' 3,1,2.82,66,2.02,50,1.14,41,41,0.2
154,Gilles Arsene,1,1,0,5' 9,3,0.06,10,2.45,32,0,0,0,0
155,Veta Arteaga,3,1,0,5' 7,0,3.2,36,1.92,65,0,0,40,0
156,Cesar Arzamendia,8,3,0,5' 11,1,5.37,45,5.2,56,7.32,75,0,2.4
157,Kai Asakura,21,5,0,5' 8,1,2.4,58,4.52,38,0,0,57,0
158,Teddy Ash,14,5,0,6' 1,2,7.27,61,6.8,28,0,0,100,0
159,Yanal Ashmouz,8,1,0,5' 9,1,2.94,50,4.54,55,4.8,50,60,0
160,Askar Askarov,14,1,1,5' 6,1,3.05,54,2.8,57,2.6,24,66,0.4
161,Cyril Asker,9,4,0,6' 0,1,3.35,39,5.82,35,4.41,62,100,0.9
162,Khusein Askhabov,23,1,0,5' 8,1,2,26,4.13,56,0,0,66,0
163,Scott Askham,14,4,0,6' 3,3,3.03,46,3.52,52,0.44,18,65,0.7
164,Ben Askren,19,2,0,5' 11,1,3.64,49,5.66,36,4.33,55,0,0.9
165,Ibo Aslan,14,1,0,6' 3,1,8.34,50,4.34,64,0,0,100,0
166,Tom Aspinall,15,3,0,6' 5,1,8.07,67,2.89,65,3.27,100,100,1.6
167,Bruno Assis,8,4,0,6' 2,1,1.27,43,3.2,36,2,50,66,1
168,Junior Assuncao,16,6,0,5' 9,1,3.31,62,2.06,44,2.43,24,66,0.7
169,Raphael Assuncao,28,10,0,5' 5,1,3.22,42,2.5,66,1.65,39,78,0.2
170,Michael Aswell,9,2,0,5' 8,1,10.33,50,6.8,52,0,0,57,0
171,Bazigit Atajev,17,1,0,6' 1,1,0.87,41,3.14,49,1,33,0,0
172,Rich Attonito,10,5,0,5' 10,1,2.28,47,2.13,59,0.74,37,75,0
173,Olivier Aubin-Mercier,11,5,0,5' 9,3,2.48,51,2.97,55,2.36,33,70,0.5
174,Pat Audinwood,11,2,1,6' 0,1,1.17,12,4.31,41,0.8,50,0,0
175,Marcus Aurelio,22,10,0,5' 10,1,1.42,33,2.27,59,1.69,27,27,1.3
176,David Avellan,2,1,0,5' 9,1,3.33,25,10,57,0,0,0,0
177,Blas Avena,8,7,0,6' 0,1,2.34,47,3.36,43,2.37,80,50,1.8
178,Chris Avila,5,4,0,5' 10,1,2.37,30,4.17,48,0,0,46,0
179,Julia Avila,9,3,0,5' 7,1,2.59,43,2.86,50,0.54,33,50,0.3
180,Saad Awad,20,9,0,5' 11,0,2.13,26,1.87,60,0.5,16,100,0.5
181,Javy Ayala,10,5,0,6' 1,0,0.83,25,5,33,0,0,0,0
182,Jessin Ayari,16,6,0,6' 0,1,3.53,37,3.59,58,0,0,50,0.3
183,Abu Azaitar,14,4,1,5' 9,1,4.38,43,4.32,51,1,37,42,0
184,Ottman Azaitar,13,3,0,5' 8,2,4.43,44,4.11,52,0,0,100,0
185,Luiz Azeredo,15,10,0,5' 9,1,2.16,39,2.76,57,1.07,50,45,0.3
186,Luciano Azevedo,17,9,1,6' 3,1,0.76,45,1.97,27,2.28,11,0,0
187,Hunter Azure,9,2,0,5' 8,1,3.92,53,2.08,58,1.97,34,67,1.3
188,Niklas Backstrom,11,3,0,6' 1,1,1.12,41,3.65,40,2.92,80,72,2.2
189,Seth Baczynski,20,14,0,6' 3,1,3.08,31,3.14,51,0.89,16,48,0.8
190,Ryan Bader,23,5,0,6' 2,1,2.82,43,1.39,71,3.37,44,80,0.4
191,Izabela Badurek,6,3,0,5' 5,1,3.74,71,4.9,32,1.75,12,100,0
192,Miguel Baeza,10,4,0,6' 2,1,4.09,49,5.92,46,0.36,22,54,2
193,Ali Bagautinov,15,6,0,5' 4,1,2.85,42,3.09,52,2.51,36,65,0.3
194,Mehdi Baghdad,11,5,0,6' 1,1,3.13,30,4.56,46,0,0,33,0
195,Melsik Baghdasaryan,8,2,0,5' 9,3,5.28,61,3.06,58,0,0,72,0
196,Siyar Bahadurzada,24,8,1,5' 11,1,2.91,40,3.23,49,1.32,61,62,0.3
197,Ignacio Bahamondes,16,5,0,6' 3,1,7.17,47,4.41,57,0,0,85,0.3
198,Bahatebole Batebolati,10,1,1,5' 8,3,4.02,45,4.83,61,1.34,66,100,0
199,Shamar Bailey,16,11,0,5' 9,3,1.56,20,3.91,69,1.5,33,37,0
200,Jordan Bailey,6,3,0,5' 9,0,1.74,40,0.29,0,4.35,100,0,4.3
201,Bryan Baker,18,5,0,6' 3,1,1.78,52,2.83,45,0.44,50,37,0.9
202,Balajin,23,4,0,5' 9,1,1.4,33,2.73,50,2,20,66,0
203,Oluwale Bamgbose,6,4,0,5' 11,2,2.45,48,2.7,55,0.94,33,37,0
204,Stephen Banaszak,5,5,0,6' 0,0,4.2,47,1.15,66,0,0,100,1.9
205,Marcin Bandel,15,7,0,5' 10,1,0.79,50,5.26,23,0,0,0,0
206,Humberto Bandenay,14,7,0,5' 11,3,2.22,41,4.79,41,2.9,46,62,0.5
207,Tae Hyun Bang,18,10,0,5' 9,2,2.72,38,2.07,66,0.49,33,57,0.5
208,Shauna Bannon,6,1,0,5' 5,2,4.37,41,3.77,42,0,0,42,0
209,Antonio Banuelos,20,11,1,5' 5,1,2.69,33,3.15,58,1.62,62,86,0.4
210,Renan Barao,34,9,0,5' 6,1,3.78,36,3.9,57,1.49,41,91,0.5
211,Junior Barata,9,3,1,5' 10,1,4.03,33,8.46,34,0,0,0,0
212,Maycee Barber,14,2,0,5' 5,2,4.7,53,2.9,54,1.44,43,53,0.1
213,Bryan Barberena,18,12,0,6' 0,3,5.35,48,4.59,44,0.13,22,50,0.3
214,Dione Barbosa,7,3,0,5' 6,1,1.85,48,2.49,66,1.73,28,42,2.2
215,Edson Barboza,24,12,0,5' 11,1,4.11,44,4.65,56,0.45,50,72,0.1
216,Raoni Barcelos,19,5,0,5' 7,1,5.11,53,4.64,60,2.46,37,82,0.7
217,Daniel Barez,17,6,0,5' 6,1,4.1,52,5.05,57,2.24,31,92,0.9
218,Danny Barlow,9,0,0,6' 2,3,5.72,50,3.48,52,0,0,100,0
219,Luke Barnatt,13,4,0,6' 6,1,4.43,36,3.87,59,0.63,42,63,0.4
220,James Barnes,14,5,0,5' 8,1,0.57,34,3.02,39,1.08,16,40,0
221,Nick Barnes,11,2,0,5' 11,0,2.86,29,8.93,51,5.36,100,100,5.4
222,Shonte Barnes,6,2,1,5' 11,3,2.32,38,1.55,67,0,0,60,0
223,Josh Barnett,35,8,0,6' 3,1,3.2,50,2.11,57,1.26,55,55,1.4
224,Chris Barnett,23,9,0,5' 9,1,4.21,47,6.53,39,0,0,33,0
225,David Baron,17,4,1,5' 6,2,1.17,30,2.1,56,0,0,14,0.7
226,Phil Baroni,15,18,0,5' 9,1,2.77,45,3.93,40,1.46,47,60,0.5
227,Dan Barrera,3,1,0,5' 9,1,0.8,70,1.2,28,1,8,0,0
228,Peter Barrett,11,5,0,5' 10,3,4.18,61,4.32,42,1.39,22,66,0
229,Marc-Andre Barriault,16,9,0,6' 1,1,5.98,47,5.58,52,0.21,25,67,0.1
230,Alexandre Barros,22,11,0,5' 9,3,0.98,40,4.05,36,1.84,50,100,0
231,Ricardo Barros,2,2,0,6' 1,0,0,0,8.22,31,0,0,100,0
232,Francimar Barroso,19,7,0,6' 1,1,2.77,52,3.07,59,2.22,24,83,0
233,Pat Barry,8,7,0,5' 11,1,2.72,52,3.54,59,0,0,76,0.2
234,Dean Barry,4,2,0,5' 10,1,9.31,40,4.66,51,0,0,100,0
235,Enrique Barzola,17,5,2,5' 7,1,3.91,41,2.97,68,4.2,45,66,0.3
236,Javid Basharat,14,1,0,5' 9,1,5.42,53,2.97,62,1.7,40,85,0.2
237,Farid Basharat,13,0,0,5' 8,1,4.36,55,2.57,59,3.97,44,80,0.5
238,Austin Bashi,13,1,0,5' 6,1,1.94,48,2.71,46,8.39,39,62,1.3
239,Stephen Bass,11,2,0,5' 9,1,4.87,52,5.87,55,0,0,0,0
240,Shayna Baszler,15,11,0,5' 7,1,2.49,30,6.36,51,0.67,18,44,1.3
241,Michel Batista,4,1,0,6' 3,1,0,0,4.03,40,6.72,50,0,0
242,Bryan Battle,13,2,0,6' 1,1,5.12,52,4.11,44,0.77,17,53,0.4
243,Alan Baudot,8,3,0,6' 3,1,5.36,58,4.82,46,0,0,62,0
244,Mario Bautista,15,2,0,5' 9,2,5.33,47,3.91,54,1.92,33,66,0.9
245,Chris Beal,10,5,0,5' 7,1,3.45,35,3.18,61,1.6,58,78,0.2
246,Donovan Beard,7,2,0,6' 2,1,0,0,5.77,28,0,0,0,0
247,Rudy Bears,16,15,0,5' 11,3,1.27,29,2.53,50,0,0,0,0
248,Salvador Becerra,5,2,0,5' 9,0,4.57,31,3.83,58,0,0,66,0
249,Ariel Beck,4,5,0,5' 6,3,4.44,34,4.31,64,0,0,0,0
250,Jeff Bedard,13,3,0,5' 6,1,0.8,51,0,100,3.43,66,100,2.6
251,Eric Bedard,6,7,0,6' 2,0,6.37,35,8.54,52,0,0,0,0
252,Johnny Bedford,21,13,1,5' 10,1,4.53,50,1.75,63,1.83,62,62,0
253,Rolando Bedoya,14,4,0,5' 11,1,7.29,49,6.38,52,0,0,33,0
254,Chase Beebe,24,13,1,5' 7,1,2.17,38,1.64,69,2.49,42,41,0.9
255,Lyle Beerbohm,24,3,0,5' 10,3,1.98,55,1.61,54,2.1,23,64,0.3
256,Allan Begosso,7,2,1,5' 5,1,1.8,40,7.73,34,0,0,25,2
257,Azamat Bekoev,19,3,0,6' 0,1,6.85,80,4.24,45,4.89,50,0,0
258,Mirsad Bektic,13,4,0,5' 8,1,2.43,41,1.8,57,3.98,52,92,0.4
259,Diana Belbita,15,9,0,5' 7,1,6.54,42,6.55,51,0.91,62,65,0
260,Alan Belcher,18,8,0,6' 2,1,2.7,41,3.1,59,0.44,26,55,0.9
261,Vitor Belfort,26,14,0,6' 0,3,1.59,46,2.83,50,1.02,60,53,0.6
262,Yousri Belgaroui,8,3,0,6' 5,1,4.43,60,2.65,57,0,0,81,0
263,Rodolfo Bellato,12,2,0,6' 3,1,6.47,61,5.9,44,1.09,25,100,0.5
264,Danilo Belluardo,12,5,0,6' 0,3,1.52,61,4.79,41,3.5,100,50,0
265,Joey Beltran,17,14,0,6' 1,1,4.92,36,5.27,54,0.48,18,75,0
266,Marco Beltran,8,6,0,5' 8,1,2.07,37,1.93,63,0.7,50,46,0.2
267,Joseph Benavidez,28,8,0,5' 4,3,3.52,34,2.67,61,1.41,30,62,0.6
268,Mike Bencic,1,2,0,6' 0,1,0,0,3.32,53,0,0,0,0
269,Karla Benitez,14,11,1,5' 3,0,0,0,2.4,57,0,0,100,0
270,Gabriel Benitez,23,13,0,5' 8,3,5.26,41,4.49,63,0.22,50,55,0.9
271,Charles Bennett,30,33,2,5' 8,1,1.39,39,1.35,64,2.02,100,36,2
272,Josh Bennett,11,14,0,6' 4,1,2.9,40,5.8,43,1.5,100,100,0
273,DeAnna Bennett,8,3,1,5' 4,1,3.13,58,3.27,58,0,0,0,1
274,Benjamin Bennett,7,1,0,6' 0,2,4.53,54,4.53,65,6,60,0,0
275,Lance Benoist,7,2,0,5' 11,3,3.68,51,2.7,56,1.5,33,61,0
276,Joe Benoit,11,4,0,5' 9,1,0,0,0,100,0,0,0,0
277,Ryan Benoit,10,8,0,5' 5,1,2.88,39,3.65,58,0.28,22,72,0.4
278,Steve Berger,21,23,2,5' 11,1,1,27,3.26,36,0.84,40,16,1.7
279,Kenneth Bergh,8,0,0,6' 2,1,4.56,75,1.27,28,0,0,0,0
280,Bret Bergmark,6,1,1,5' 9,0,2.78,52,2.78,37,4.17,100,50,4.2
281,Keith Berish,5,1,0,6' 0,1,3.58,36,4.81,62,1.76,40,0,0
282,Dennis Bermudez,17,9,0,5' 6,1,4.42,46,3.07,59,3.89,40,82,1.1
283,Manny Bermudez,14,2,0,5' 10,1,2.92,61,2.68,46,3.06,54,0,3.1
284,Talita Bernardo,6,4,0,5' 4,1,3.12,42,4.04,55,1.62,22,28,0.5
285,Keith Berry,15,14,1,6' 1,0,0.27,12,6.27,28,0,0,0,0
286,Edson Berto,17,12,1,5' 6,1,1.76,36,4.62,47,5.47,40,0,2.7
287,Allen Berube,4,3,0,5' 8,1,0.92,80,0.92,33,6.87,100,0,3.4
288,Anton Berzin,5,1,0,6' 2,1,4.4,46,6.8,67,2,28,0,1
289,Matt Bessette,22,9,0,5' 10,1,4.36,41,4.45,58,0.64,28,61,0.3
290,Khadzhi Bestaev,10,4,0,6' 6,0,6.15,29,10,43,0,0,0,0
291,Arjan Bhullar,9,1,0,6' 1,1,2.33,56,3.25,59,1.73,75,100,0
292,KB Bhullar,8,2,0,6' 4,2,4.31,49,5.39,45,0,0,0,0
293,Bibulatov Magomed,14,2,0,5' 5,1,3.6,51,1.83,52,2.85,40,75,0
294,David Bielkheden,24,12,0,5' 10,1,1.11,57,1.64,54,2.65,63,14,0
295,Blake Bilder,8,2,1,5' 8,2,3.81,48,4.15,53,0.31,7,71,0.6
296,Jonas Bilharinho,9,1,1,5' 11,2,3.71,60,3.36,57,0,0,100,0
297,Jeremiah Billington,11,2,0,5' 9,1,1.6,62,7.06,35,0,0,50,0
298,Anthony Birchak,16,8,0,5' 8,1,3.93,36,3.67,56,0.48,14,61,0.5
299,Chris Birchler,7,4,0,6' 3,2,9.35,46,14.83,35,0,0,0,0
300,Angad Bisht,10,3,0,5' 7,1,3.91,51,4.56,33,2.41,37,100,0
301,Michael Bisping,30,9,0,6' 1,1,4.33,38,2.71,65,1.05,43,63,0.3
