Fighter1_ID,Fighter2_ID,Winner_ID,Method,Round
146,2958,2958,"Decision (split) (28–29, 29–28, 29–28)",3
122,1087,1087,"Decision (unanimous) (30–27, 30–27, 30–26)",3
2494,1376,1376,"Decision (split) (30–27, 28–29, 29–28)",3
1351,3301,3301,KO (punches),3
542,3545,542,Submission (face crank),1
124,2597,124,"Decision (unanimous) (29–28, 29–28, 29–28)",3
2207,1402,2207,"Decision (unanimous) (29–28, 29–28, 29–28)",3
1891,2493,1891,KO (spinning backfists),2
165,523,165,TKO (punches),1
780,2256,2256,TKO (knee injury),1
2619,2368,2619,"Decision (split) (28–29, 29–28, 29–28)",3
943,1890,1890,Submission (arm-triangle choke),3
224,2317,2317,TKO (knee to the body and punches),1
237,1394,237,"Decision (unanimous) (30–27, 29–28, 29–28)",3
2981,2251,2251,"Decision (unanimous) (30–27, 30–27, 30–27)",3
918,1736,918,"Decision (unanimous) (29–28, 29–28, 30–27)",3
2470,1310,1310,TKO (elbows),5
2508,981,981,"Decision (unanimous) (29–28, 29–28, 29–28)",3
3178,1498,1498,"Decision (unanimous) (29–28, 29–28, 29–28)",3
3047,1225,3047,"Decision (unanimous) (30–26, 29–27, 29–27)",3
856,2522,856,"Decision (unanimous) (29–28, 29–28, 29–28)",3
70,2279,70,"Decision (unanimous) (29–28, 29–28, 29–28)",3
1976,1566,1976,"Decision (unanimous) (29–28, 29–28, 29–28)",3
846,3436,846,Submission (face crank),3
2462,2624,2624,"Decision (unanimous) (29–28, 29–28, 29–28)",3
142,1958,1958,"Decision (unanimous) (30–27, 30–27, 30–27)",3
1704,738,1704,"Decision (unanimous) (29–28, 29–28, 29–28)",3
2761,3206,2761,"Decision (split) (47–48, 48–47, 48–47)",5
3237,2421,2421,"Decision (split) (28–29, 29–28, 29–28)",3
2290,1134,2290,"Decision (unanimous) (30–27, 30–27, 30–27)",3
700,1062,700,TKO (elbows and punches),2
2710,2167,2710,"Decision (split) (28–29, 29–28, 29–28)",3
3427,3254,3254,TKO (punches),1
2447,2779,2779,Submission (rear-naked choke),1
1142,2557,1142,"Decision (unanimous) (30–27, 30–27, 30–27)",3
2934,3203,3203,TKO (punches),2
2024,2534,2534,"Decision (split) (29–28, 28–29, 30–27)",3
1224,143,1224,"Decision (unanimous) (30–27, 30–27, 30–27)",3
2698,488,488,Technical Submission (rear-naked choke),2
2471,2754,2471,TKO (punches),4
2456,2464,2456,"Decision (split) (48–47, 47–48, 48–47)",5
244,48,244,"Decision (split) (28–29, 29–28, 29–28)",3
774,1349,774,TKO (corner stoppage),1
1262,3439,1262,"Decision (unanimous) (30–27, 30–27, 29–28)",3
408,3279,408,KO (punch),3
2709,1846,1846,"Decision (split) (29–28, 28–29, 29–28)",3
1386,1309,1309,"Decision (split) (27–30, 29–28, 29–28)",3
2541,80,80,"Decision (unanimous) (30–27, 30–27, 30–27)",3
2789,3091,3091,Submission (guillotine choke),1
891,2465,2465,"Decision (unanimous) (29–28, 29–28, 30–27)",3
2015,2032,2015,Submission (neck crank),1
2788,2123,2123,TKO (doctor stoppage),2
1410,67,1410,"Decision (unanimous) (29–28, 29–28, 29–28)",3
379,1121,1121,"Decision (split) (29–28, 28–29, 29–28)",3
1521,242,242,TKO (punches),2
532,2098,532,KO (punch),2
3685,1012,3685,KO (knee),3
885,666,666,"Decision (split) (28–29, 29–28, 29–28)",3
2690,1628,1628,"Decision (unanimous) (30–27, 29–28, 29–28)",3
1707,2152,1707,"Decision (unanimous) (30–27, 30–27, 30–27)",3
84,217,217,"Decision (unanimous) (29–28, 29–28, 29–28)",3
515,605,515,"Decision (split) (28–29, 29–28, 29–28)",3
816,2341,816,Technical Submission (guillotine choke),1
827,2323,827,"Decision (unanimous) (49–46, 48–47, 48–47)",5
2939,1170,2939,"Decision (unanimous) (50–45, 50–45, 50–45)",5
2370,1826,1826,"Decision (unanimous) (30–26, 30–27, 30–27)",3
3671,2651,2651,"Decision (split) (29–28, 28–29, 29–28)",3
2712,2375,2712,"Decision (unanimous) (29–28, 29–27, 29–27)",3
45,815,815,"Decision (unanimous) (30–27, 30–27, 30–27)",3
197,3311,197,TKO (punches),1
3086,1461,3086,Technical Submission (rear-naked choke),1
3387,526,3387,"Decision (unanimous) (29–28, 29–28, 29–28)",3
132,2744,2744,"Decision (unanimous) (29–28, 29–28, 29–28)",3
356,424,356,"Decision (unanimous) (50–45, 50–45, 49–46)",5
2985,114,2985,"Decision (unanimous) (30–27, 30–27, 30–27)",3
2263,1060,1060,TKO (elbows and punches),1
2891,823,823,Submission (ninja choke),2
2452,159,159,"Decision (unanimous) (30–27, 29–28, 29–28)",3
2397,2737,2397,TKO (doctor stoppage),2
1934,812,812,Submission (arm-triangle choke),2
1801,787,1801,"Decision (unanimous) (30–27, 29–28, 29–28)",3
2853,3636,2853,"Decision (unanimous) (30–26, 30–26, 30–27)",3
104,730,104,Submission (armbar),1
2492,411,2492,"Decision (unanimous) (30–27, 30–27, 30–27)",3
468,340,340,"Decision (unanimous) (49–45, 49–45, 48–46)",5
2654,1332,2654,"Decision (unanimous) (29–28, 29–28, 29–28)",3
3379,1818,1818,TKO (elbows),2
2333,2856,2856,KO (punch),2
2154,1885,2154,TKO (punches),1
2926,2041,2041,Submission (arm-triangle choke),2
438,1942,1942,"Decision (split) (28–29, 30–27, 29–28)",3
2038,2626,2626,"Decision (unanimous) (30–27, 30–27, 30–27)",3
1813,342,342,"Decision (split) (28–29, 29–28, 30–27)",3
2311,515,515,"Decision (split) (27–30, 29–28, 29–28)",3
1768,3493,3493,KO (punches),1
17,798,798,Submission (face crank),4
880,1556,1556,TKO (punches),1
1048,1368,1368,"Decision (split) (28–29, 29–28, 29–28)",3
3339,2762,2762,"Decision (split) (29–28, 27–30, 30–27)",3
2552,1784,2552,KO (punches),2
3203,3477,3477,Submission (heel hook),1
651,2605,2605,"Decision (split) (29–28, 28–29, 29–28)",3
2854,2326,2326,"Decision (unanimous) (30–27, 30–27, 30–26)",3
426,1467,1467,TKO (retirement),3
2297,2641,2297,"Decision (unanimous) (30–27, 30–27, 29–28)",3
1102,3060,3060,"Decision (unanimous) (30–27, 30–26, 29–28)",3
2280,23,23,Technical Submission (guillotine choke),1
3351,3103,3103,Submission (armbar),1
1444,1929,1929,"Decision (unanimous) (30–25, 30–25, 30–26)",3
3426,218,218,"Decision (split) (29–28, 27–30, 29–28)",3
1220,1735,1220,"Decision (unanimous) (29–28, 29–28, 29–28)",3
2848,530,2848,"Decision (unanimous) (30–27, 29–28, 29–28)",3
1187,1575,1575,Submission (triangle choke),2
1599,2742,2742,"Decision (unanimous) (30–27, 30–27, 30–27)",3
764,3565,764,"Decision (unanimous) (30–27, 29–28, 29–28)",3
3663,884,3663,Submission (rear-naked choke),1
51,1845,1845,"Decision (unanimous) (30–27, 30–27, 30–27)",3
2826,2316,2316,"Decision (unanimous) (50–45, 49–46, 49–46)",5
1891,2345,1891,"Decision (unanimous) (30–27, 30–27, 29–28)",3
948,3421,948,"Decision (unanimous) (29–28, 29–28, 30–27)",3
933,540,540,Submission (rear-naked choke),1
1105,736,736,"Decision (unanimous) (29–28, 29–28, 29–28)",3
90,368,90,TKO (knees and punches),3
2057,2211,2211,KO (punches),2
937,3611,937,TKO (punches),1
1988,1075,1075,"Decision (unanimous) (30–27, 30–27, 30–27)",3
3466,1683,1683,"Decision (unanimous) (29–28, 29–28, 29–28)",3
1393,804,1393,"Decision (split) (27–30, 29–28, 29–28)",3
253,1304,1304,"Decision (unanimous) (30–27, 30–27, 29–28)",3
3288,814,814,"Decision (unanimous) (29–28, 29–28, 30–27)",3
2184,844,2184,"Decision (unanimous) (48–47, 48–47, 49–46)",5
166,313,166,KO (punches),1
1177,2521,2521,Technical Submission (triangle choke),1
2702,817,2702,"Decision (unanimous) (30–27, 30–27, 30–27)",3
66,541,66,"Decision (unanimous) (29–28, 29–28, 29–28)",3
3587,2522,3587,"Decision (unanimous) (29–27, 29–27, 29–28)",3
1998,364,364,"Decision (unanimous) (30–27, 30–27, 29–28)",3
1838,1225,1225,"Decision (unanimous) (30–27, 30–27, 29–28)",3
1554,2125,2125,"Decision (unanimous) (29–28, 29–28, 30–27)",3
2429,860,860,"Decision (unanimous) (29–28, 30–27, 30–27)",3
415,2546,415,Submission (arm-triangle choke),3
2439,639,2439,Submission (arm-triangle choke),1
2427,405,2427,KO (punches),1
208,142,208,"Decision (split) (28–29, 29–28, 30–27)",3
1452,1764,1452,Submission (armbar),2
1060,547,1060,TKO (punches),1
1357,1665,1357,"Decision (unanimous) (29–28, 29–28, 29–28)",3
2981,823,2981,TKO (punches),2
59,546,546,TKO (submission to punch),2
1754,102,102,TKO (punches),1
1087,1579,1087,Submission (arm-triangle choke),1
1984,214,1984,"Decision (unanimous) (29–28, 30–27, 30–27)",3
2591,2335,2335,"Decision (unanimous) (29–28, 29–28, 30–27)",3
486,2565,486,"Decision (unanimous) (29–28, 29–28, 30–27)",3
2488,3372,2488,"Decision (unanimous) (30–27, 30–27, 30–27)",3
611,2239,2239,"Decision (unanimous) (49–46, 49–46, 48–47)",5
2804,2537,2804,"Decision (split) (28–29, 29–28, 29–28)",3
769,2967,2967,TKO (doctor stoppage),3
332,1824,332,"Decision (unanimous) (30–27, 30–27, 29–28)",3
2716,883,883,Submission (guillotine choke),1
398,2617,2617,No Contest (illegal elbows),1
3387,1498,1498,KO (punches),3
1632,1460,1460,"Decision (unanimous) (30–27, 30–27, 30–27)",3
1447,309,1447,KO (punch),1
2854,20,2854,Submission (rear-naked choke),1
2492,1009,2492,"Decision (unanimous) (30–27, 30–27, 30–27)",3
976,852,852,Submission (arm-triangle choke),2
2560,2471,2471,TKO (head kick and punches),2
1826,1402,1826,"Decision (unanimous) (29–28, 29–28, 29–28)",3
3033,774,774,"Decision (unanimous) (30–27, 29–28, 29–28)",3
413,539,539,TKO (doctor stoppage),2
1869,2399,1869,"Decision (unanimous) (29–28, 29–28, 29–28)",3
229,2574,2574,KO (punches),1
3187,954,954,"Decision (split) (28–29, 29–28, 29–28)",3
1520,2967,2967,KO (punch),2
3216,1081,3216,KO (punches),1
3509,2692,2692,"Decision (unanimous) (30–27, 30–27, 30–26)",3
409,145,409,"Decision (split) (29–28, 28–29, 30–27)",3
3332,1312,3332,"Decision (unanimous) (29–28, 29–28, 29–28)",3
2999,2353,2353,"Decision (unanimous) (30–27, 30–27, 29–28)",3
62,3545,3545,KO (punches),1
2443,3461,3461,"Decision (unanimous) (30–27, 30–27, 29–28)",3
1069,2710,1069,"Decision (unanimous) (29–28, 30–27, 30–27)",3
3326,1891,1891,TKO (knee and punches),3
3475,2332,2332,KO (punch),1
1249,1137,1249,"Decision (split) (28–29, 29–28, 29–28)",3
2224,1802,1802,Submission (rear-naked choke),3
918,672,918,"Decision (split) (29–28, 28–29, 29–28)",3
1035,1553,1035,"Decision (unanimous) (30–27, 30–27, 30–27)",3
2650,1032,1032,"Decision (majority) (29–28, 29–28, 28–28)",3
1756,3606,1756,"Decision (split) (28–29, 29–28, 29–28)",3
2477,3206,3206,TKO (knee injury),2
2994,1481,1481,"Decision (unanimous) (30–27, 30–27, 29–28)",3
79,649,79,"Decision (unanimous) (29–28, 29–28, 29–28)",3
1325,146,1325,Submission (rear-naked choke),3
1497,70,70,"Decision (unanimous) (30–27, 30–27, 30–27)",3
2582,1018,1018,"Decision (split) (29–28, 28–29, 29–28)",3
971,1914,1914,"Decision (unanimous) (30–27, 30–27, 29–28)",3
936,1528,936,"Decision (split) (29–28, 28–29, 29–28)",3
3572,2859,3572,Submission (triangle armbar),1
619,2306,619,Submission (face crank),3
2534,1637,1637,"Decision (unanimous) (29–28, 29–28, 29–28)",3
468,1410,1410,TKO (punches),4
1449,2640,2640,KO (punches),1
2744,3345,2744,Submission (rear-naked choke),2
943,3144,943,KO (spinning back elbow),1
2626,1937,2626,TKO (body kick and punches),1
192,3070,3070,"Decision (unanimous) (30–25, 30–25, 30–27)",3
2124,1628,1628,"Decision (unanimous) (30–27, 30–27, 30–27)",3
2552,2590,2552,KO (knee to the body),1
436,1566,1566,"Decision (unanimous) (30–26, 30–27, 30–27)",3
1753,708,708,"Decision (split) (28–29, 29–28, 29–28)",3
1925,505,1925,"Decision (unanimous) (30–27, 30–27, 30–27)",3
2177,1111,1111,"Decision (split) (28–29, 30–27, 30–27)",3
3111,1707,1707,"Decision (unanimous) (30–27, 30–27, 30–27)",3
786,3296,3296,"Decision (split) (30–27, 27–30, 29–28)",3
2531,1903,1903,Submission (brabo choke),5
3160,616,3160,"Decision (split) (46–49, 50–45, 49–46)",5
1349,2345,1349,Technical Submission (armbar),1
2167,2557,2557,"Decision (unanimous) (29–28, 29–28, 29–28)",3
3664,390,390,"Decision (unanimous) (29–28, 29–28, 29–28)",3
1650,80,1650,"Decision (split) (29–28, 28–29, 30–27)",3
78,2728,78,Submission (rear-naked choke),1
3056,700,700,"Decision (unanimous) (29–28, 30–27, 30–27)",3
2758,1980,1980,"Decision (unanimous) (29–28, 29–28, 30–27)",3
1227,1040,1227,"Decision (unanimous) (30–27, 30–27, 29–28)",3
2479,846,2479,"Decision (unanimous) (30–27, 29–28, 29–28)",3
1801,2611,1801,"Decision (split) (30–27, 28–29, 30–27)",3
215,2207,2207,"Decision (unanimous) (49–46, 50–45, 50–45)",5
1261,3564,3564,KO (punch),1
358,1142,1142,"Decision (unanimous) (30–27, 30–27, 30–27)",3
3625,2810,3625,TKO (punches),1
1332,2525,1332,Submission (guillotine choke),2
2297,1956,2297,TKO (knee to the body and punches),1
3190,3292,3190,Submission (face crank),1
3436,1071,1071,TKO (punch to the body),3
93,1890,1890,"Decision (unanimous) (30–26, 30–26, 30–26)",3
2715,485,485,DQ (headbutts),2
36,2703,36,"Decision (unanimous) (30–27, 30–27, 29–28)",3
803,730,730,"Decision (split) (28–29, 29–28, 29–28)",3
1780,2245,1780,TKO (punches),3
408,2775,408,"Decision (unanimous) (30–27, 30–26, 29–27)",3
2057,3358,3358,KO (punches),1
2619,941,941,TKO (punches),3
443,3592,3592,"Decision (unanimous) (29–28, 29–28, 30–27)",3
738,610,610,"Decision (unanimous) (30–26, 30–27, 30–27)",3
342,1369,1369,Submission (brabo choke),2
2651,2027,2651,KO (head kick),1
2465,2654,2654,"Decision (split) (28–29, 29–28, 29–28)",3
1107,3508,3508,"Decision (unanimous) (30–27, 30–27, 29–28)",3
1225,1498,1498,"Decision (unanimous) (29–28, 29–28, 29–28)",3
49,1254,1254,"Decision (unanimous) (29–28, 29–28, 29–28)",3
2413,880,2413,"Decision (unanimous) (48–47, 48–47, 49–46)",5
1952,48,48,"Decision (unanimous) (30–27, 30–27, 30–27)",3
2491,3033,3033,Submission (guillotine choke),1
2541,2470,2470,Submission (guillotine choke),1
340,633,340,KO (punches),2
379,2953,379,TKO (doctor stoppage),2
1846,1659,1846,"Decision (unanimous) (30–27, 30–27, 30–27)",3
2368,368,2368,"Decision (unanimous) (29–27, 29–27, 29–27)",3
2978,1633,1633,"Decision (unanimous) (29–28, 29–28, 29–28)",3
2188,2768,2768,TKO (punches),1
214,1559,214,"Decision (unanimous) (29–28, 29–28, 29–28)",3
333,2512,333,"Decision (unanimous) (30–27, 30–27, 30–27)",3
618,339,618,TKO (punches),2
2279,2477,2477,KO (punch),2
3091,1213,1213,TKO (punches),2
670,2988,2988,"Decision (unanimous) (30–27, 29–28, 29–28)",3
764,1704,764,KO (punches),2
2365,2447,2365,"Decision (unanimous) (29–28, 29–28, 29–28)",3
2037,2032,2037,TKO (punches),1
1302,3610,1302,TKO (head kick and punches),3
1386,947,1386,"Decision (unanimous) (29–28, 29–28, 29–28)",3
1988,1868,1988,"Decision (unanimous) (29–28, 29–28, 29–28)",3
3086,1920,3086,"Decision (unanimous) (30–27, 30–27, 30–27)",3
1813,2397,2397,Submission (rear-naked choke),1
1786,2494,2494,Submission (arm-triangle choke),3
1895,270,1895,"Decision (split) (28–29, 29–28, 29–28)",3
1334,2471,2471,KO (punches),1
3621,3678,3678,"Decision (unanimous) (49–45, 49–45, 49–45)",5
1351,1033,1351,KO (punch),5
2347,3331,3331,"Decision (split) (28–29, 29–28, 29–28)",3
2277,398,2277,Submission (rear-naked choke),2
2560,2597,2560,TKO (punches),2
3130,1567,3130,"Decision (unanimous) (30–27, 30–27, 30–27)",3
1354,1262,1262,Submission (rear-naked choke),2
1826,3657,1826,TKO (punches),1
2123,3349,2123,TKO (elbows and punches),2
2709,114,114,"Decision (split) (28–29, 29–28, 29–28)",3
1177,2081,1177,"Decision (unanimous) (29–27, 30–25, 29–26)",3
1054,948,948,Submission (rear-naked choke),2
67,665,67,"Decision (split) (47–48, 48–47, 49–46)",5
1444,1309,1444,"Decision (split) (27–30, 29–28, 29–28)",3
532,1929,1929,"Decision (split) (29–28, 27–30, 29–28)",3
1083,197,197,KO (head kick),1
2452,458,458,"Decision (unanimous) (30–27, 30–27, 30–27)",3
2015,2167,2167,"Decision (unanimous) (29–28, 29–28, 29–28)",3
405,3477,405,"Decision (unanimous) (29–28, 29–28, 29–28)",3
815,717,815,"Decision (unanimous) (29–28, 29–28, 29–28)",3
920,1394,1394,"Decision (unanimous) (30–27, 29–28, 29–28)",3
143,1976,1976,Submission (guillotine choke),2
411,80,80,TKO (punches),2
605,2189,605,TKO (knee to the body and head kicks),2
961,311,961,"Decision (unanimous) (50–45, 50–45, 50–45)",5
1852,408,408,TKO (punches),2
3524,2981,3524,"Technical Decision (unanimous) (30–27, 30–27, 30–27)",3
2775,814,2775,TKO (punches),1
2263,59,2263,TKO (punches),1
2023,2290,2290,"Decision (split) (28–29, 30–27, 30–27)",3
870,1703,1703,KO (punches),1
1105,1452,1452,"Decision (unanimous) (29–28, 29–28, 30–27)",3
140,426,140,TKO (punches),2
438,1981,438,TKO (punches),3
3346,165,165,TKO (punch),3
2492,1911,1911,TKO (soccer kick to the body),2
2392,1838,1838,"Decision (unanimous) (30–27, 30–27, 30–26)",3
2646,2239,2239,"Decision (unanimous) (49–46, 49–46, 48–47)",5
3565,3202,3565,"Decision (unanimous) (30–27, 29–28, 29–28)",3
771,2926,2926,KO (punches),1
2777,3216,3216,TKO (punches),2
3663,2578,3663,Submission (rear-naked choke),2
2404,2396,2396,Submission (brabo choke),1
1357,2335,2335,"Decision (unanimous) (30–27, 30–27, 30–27)",3
883,2605,883,Submission (guillotine choke),1
1481,1087,1481,"Decision (unanimous) (30–27, 30–27, 30–27)",3
2275,884,884,"Decision (unanimous) (30–27, 30–27, 30–27)",3
2923,1801,1801,DQ (biting),2
2427,3372,2427,"Decision (unanimous) (29–28, 29–28, 29–28)",3
3351,3339,3351,Technical Submission (rear-naked choke),1
242,1824,242,No Contest (accidental eye poke),2
2789,2317,2789,"Decision (split) (29–28, 28–29, 29–28)",3
812,2716,2716,"Decision (split) (27–28, 28–27, 28–27)",3
539,1599,539,Submission (rear-naked choke),1
2041,213,2041,Technical Submission (face crank),2
698,1778,698,Submission (arm-triangle choke),2
530,2311,530,"Decision (unanimous) (29–28, 29–28, 29–28)",3
2375,953,953,Submission (rear-naked choke),1
2993,651,2993,"Decision (split) (29–28, 28–29, 29–28)",3
2024,104,104,Submission (armbar),1
2603,2124,2124,TKO (leg kicks),3
1187,122,122,"Decision (unanimous) (30–27, 29–28, 29–28)",3
2323,3421,2323,"Decision (unanimous) (50–45, 50–45, 50–44)",5
2531,2788,2531,KO (punches),2
1349,2399,2399,"Decision (unanimous) (29–28, 29–28, 29–28)",3
424,726,726,KO (knee and elbows),3
3061,3622,3622,"Decision (unanimous) (29–28, 29–28, 29–28)",3
313,78,313,KO (punches),2
212,522,212,"Decision (unanimous) (30–27, 30–27, 29–28)",3
1048,780,1048,"Decision (unanimous) (29–28, 29–28, 30–27)",3
2190,2508,2508,"Decision (unanimous) (30–27, 30–27, 30–27)",3
666,1810,1810,"Decision (unanimous) (29–28, 29–28, 29–28)",3
2345,2470,2470,Technical Submission (rear-naked choke),1
738,2418,738,TKO (punches),1
3427,70,70,"Decision (unanimous) (30–27, 30–27, 30–27)",3
3586,2168,3586,"Decision (split) (28–29, 29–28, 29–28)",3
1075,2762,2762,TKO (retirement),4
2491,2451,2491,"Decision (unanimous) (30–27, 30–27, 29–28)",3
2477,2125,2125,"Decision (unanimous) (29–28, 29–28, 29–28)",3
2316,71,2316,"Decision (unanimous) (30–25, 30–26, 30–26)",3
880,2891,880,KO (punch),2
2514,107,107,"Decision (unanimous) (29–27, 29–28, 29–28)",3
2353,3067,2353,KO (flying knee),3
236,3661,3661,"Decision (unanimous) (29–28, 29–28, 29–28)",3
2649,817,817,TKO (elbows and punches),2
659,1628,1628,TKO (front kick to the body and punches),1
33,2591,2591,KO (punches),3
2761,2161,2761,"Decision (split) (48–47, 46–49, 48–47)",5
2370,2707,2370,Submission (arm-triangle choke),3
3671,2548,3671,"Decision (unanimous) (29–28, 29–28, 30–27)",3
1393,1461,1461,"Decision (unanimous) (30–27, 30–27, 30–27)",3
816,3311,3311,Submission (rear-naked choke),1
2587,216,216,Submission (rear-naked choke),3
2056,23,23,"Decision (split) (29–28, 28–29, 29–28)",3
526,1691,526,Submission (triangle choke),1
2566,3685,3685,"Decision (split) (28–29, 30–27, 29–28)",3
329,2712,2712,Submission (rear-naked choke),2
787,84,787,"Decision (split) (27–30, 29–28, 29–28)",3
2224,2989,2224,TKO (leg injury),1
3459,3301,3301,KO (punch),2
3545,616,3545,"Decision (unanimous) (29–28, 29–28, 30–27)",3
2256,1869,1869,"Decision (split) (30–27, 28–29, 30–27)",3
827,519,827,"Decision (unanimous) (29–28, 29–28, 29–28)",3
1650,1310,1310,Submission (rear-naked choke),2
736,1764,1764,"Decision (unanimous) (29–28, 29–28, 29–28)",3
3203,2719,2719,TKO (leg kick and punches),2
2233,3422,2233,"Decision (unanimous) (30–27, 30–27, 30–27)",3
2650,3679,3679,KO (punches),1
2582,218,218,TKO (punches),3
860,3588,860,"Decision (unanimous) (30–27, 30–27, 29–28)",3
1753,1984,1984,"Decision (unanimous) (30–27, 30–27, 29–28)",3
1307,2574,1307,"Decision (unanimous) (48–47, 48–47, 48–47)",5
1402,954,1402,KO (punches),1
2541,404,2541,"Decision (unanimous) (30–27, 30–27, 29–28)",3
3237,2702,2702,TKO (punches),3
1488,976,1488,"Decision (unanimous) (30–27, 30–27, 30–27)",3
2493,3440,3440,Submission (arm-triangle choke),1
2552,1092,2552,KO (punch),2
2341,649,2341,"Decision (split) (28–29, 29–28, 29–28)",3
364,1823,1823,"Decision (unanimous) (29–28, 29–28, 29–28)",3
2546,566,2546,"Decision (unanimous) (30–27, 30–27, 30–27)",3
1184,3528,1184,"Decision (split) (29–28, 28–29, 29–28)",3
2440,1213,1213,KO (punches),1
1063,102,102,TKO (punches),2
1925,132,1925,No Contest (accidental groin kick),2
1410,774,1410,"Decision (majority) (49–44, 47–47, 48–46)",5
2123,769,2123,"Decision (unanimous) (29–28, 29–28, 29–28)",3
2804,390,390,KO (punches),1
139,2985,2985,"Decision (unanimous) (29–28, 29–28, 29–28)",3
1597,2197,1597,No Contest (accidental eye poke),1
3367,2590,2590,TKO (punches),1
259,1998,1998,Submission (armbar),1
1498,1906,1498,"Decision (unanimous) (29–28, 29–28, 29–28)",3
1142,2717,1142,TKO (punches),1
1754,295,1754,"Decision (unanimous) (30–27, 30–27, 30–27)",3
486,3143,486,TKO (punches),3
2036,2585,2036,"Decision (unanimous) (29–28, 29–28, 29–28)",3
2529,2488,2529,"Decision (unanimous) (29–28, 29–28, 30–27)",3
3160,798,798,"Decision (split) (47–48, 48–47, 48–47)",5
413,2464,2464,"Decision (unanimous) (49–46, 49–46, 49–45)",5
1885,1912,1885,TKO (punches),3
229,665,665,"Decision (split) (30–27, 28–29, 30–27)",3
907,66,907,"Decision (unanimous) (29–28, 29–28, 29–28)",3
146,1566,146,"Decision (unanimous) (29–28, 29–28, 29–28)",3
3592,1520,3592,"Decision (split) (28–29, 29–28, 29–28)",3
3238,2958,3238,"Decision (split) (28–29, 29–28, 29–28)",3
3433,2692,2692,TKO (punches),2
2439,1698,2439,Submission (rear-naked choke),1
